time;signalN;signalV
-0.10000000000000009;0.018388647849999974;-0.09909715779999999
-0.09722222222222232;0.014519147699999978;-0.09204421709999999
-0.09444444444444455;0.012848996649999982;-0.08316443329999999
-0.09166666666666679;0.012494631299999986;-0.07227278155
-0.08888888888888902;0.01241174324999999;-0.05936556109999999
-0.08611111111111125;0.011568574449999994;-0.04477750854999999
-0.08333333333333348;0.009131842749999994;-0.029327795299999994
-0.08055555555555571;0.004650429399999994;-0.014377006100000006
-0.07777777777777795;-0.00178923795000001;-0.0017530694999999819
-0.07500000000000018;-0.009458826200000008;0.006518225149999987
-0.07222222222222241;-0.01697784940000001;0.008652436999999999
-0.06944444444444442;-0.02242658960000002;0.003670777900000019
-0.06666666666666665;-0.02362197485000002;-0.008060976949999993
-0.06388888888888888;-0.018551181450000023;-0.024451853099999983
-0.061111111111111116;-0.005929887150000023;-0.04164781894999999
-0.05833333333333335;0.01420713489999998;-0.054443400299999986
-0.05555555555555558;0.04002622614999998;-0.05716871964999997
-0.05277777777777781;0.06769581009999999;-0.044957555449999964
-0.050000000000000044;0.09162552774999999;-0.015189469549999945
-0.047222222222222276;0.10522397495000001;0.031202763450000046
-0.04444444444444451;0.10215427249999998;0.08888471115000005
-0.04166666666666674;0.077922657;0.14802473965000004
-0.03888888888888897;0.03148774355;0.19511471244999998
-0.036111111111111205;-0.03348543465;0.21467551675
-0.03333333333333344;-0.10811965525;0.19161774429999998
-0.03055555555555567;-0.1788814406;0.11387024219999997
-0.0277777777777779;-0.22928935095;-0.025202767300000026
-0.025000000000000133;-0.2426144402500001;-0.22509407455000005
-0.022222222222222365;-0.2051507764;-0.47753013090000007
-0.019444444444444597;-0.10942821404999997;-0.76710764375
-0.01666666666666683;0.04333893610000002;-1.07313529555
-0.013888888888889062;0.2422107841;-1.3723716264
-0.011111111111111294;0.46727768085000004;-1.6421915231500002
-0.008333333333333526;0.6922293433000001;-1.8636040280000001
-0.005555555555555536;0.8883812171500002;-2.02362086815
-0.002777777777777768;1.0294221735;-2.1165899680000004
0.0;1.0960010951;-2.1443283536499997
0.002777777777777768;1.0791899535;-2.1151236146500003
0.005555555555555536;0.9821070795000001;-2.0418722006000003
0.008333333333333304;0.8193598142;-1.9397349006500002
0.011111111111111072;0.6144102042;-1.82377089015
0.01388888888888884;0.39539157075000003;-1.7069271896
0.016666666666666607;0.19023528925;-1.5986744558
0.019444444444444375;0.02210374405000004;-1.50440834
0.022222222222222143;-0.09401121474999996;-1.42557855385
0.02499999999999991;-0.15292485094999997;-1.3604240293499998
0.02777777777777768;-0.15896255239999996;-1.3050537097000003
0.030555555555555447;-0.12396930959999998;-1.25465548915
0.033333333333333215;-0.06416836039999999;-1.20461633385
0.03611111111111098;0.0033603410000000167;-1.15137806045
0.03888888888888875;0.0638421744;-1.0929476938999998
0.04166666666666652;0.10703163055;-1.0290496363
0.04444444444444429;0.12818527764999998;-0.9609478401000001
0.047222222222222054;0.127783759;-0.8910072979499999
0.04999999999999982;0.11029530275;-0.8221264252
0.05277777777777759;0.0823868594;-0.75710493155
0.05555555555555558;0.05109265795000001;-0.6980895354000001
0.05833333333333335;0.02231009940000001;-0.6461627730499998
0.061111111111111116;-9.816754999998796e-05;-0.6011375129500001
0.06388888888888888;-0.014564237049999986;-0.56159069765
0.06666666666666665;-0.02150070189999998;-0.5251274131
0.06944444444444442;-0.022646033349999983;-0.48882609635000007
0.07222222222222219;-0.020293529399999982;-0.4497784643
0.07499999999999996;-0.016627995749999985;-0.40562892815000007
0.07777777777777772;-0.013271211799999983;-0.3550052062000001
0.08055555555555549;-0.011116811449999977;-0.2977652177
0.08333333333333326;-0.010386551299999979;-0.23502230790000003
0.08611111111111103;-0.010836490049999982;-0.16892792204999998
0.0888888888888888;-0.012009192899999981;-0.10228938265
0.09166666666666656;-0.01344685204999998;-0.03807120239999999
0.09444444444444433;-0.014822857749999979;0.021100471150000008
0.0972222222222221;-0.015986581899999977;0.07334784450000001
0.09999999999999987;-0.016921213649999975;0.11779353039999998
